,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
,COST,F,GM,JNJ,JPM,MCD,NFLX,PFE,TSLA,USB,WMT,YUM,COST,F,GM,JNJ,JPM,MCD,NFLX,PFE,TSLA,USB,WMT,YUM,COST,F,GM,JNJ,JPM,MCD,NFLX,PFE,TSLA,USB,WMT,YUM,COST,F,GM,JNJ,JPM,MCD,NFLX,PFE,TSLA,USB,WMT,YUM,COST,F,GM,JNJ,JPM,MCD,NFLX,PFE,TSLA,USB,WMT,YUM,COST,F,GM,JNJ,JPM,MCD,NFLX,PFE,TSLA,USB,WMT,YUM
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,269.0570983886719,7.864790439605713,36.26640701293945,130.09912109375,123.53362274169922,182.13873291015625,329.80999755859375,31.339031219482422,28.68400001525879,49.370582580566406,37.097110748291016,94.4701156616211,291.489990234375,9.420000076293945,37.380001068115234,145.97000122070312,141.08999633789062,200.7899932861328,329.80999755859375,37.13472366333008,28.68400001525879,59.20000076293945,39.64666748046875,102.16999816894531,294.5799865722656,9.420000076293945,37.380001068115234,146.02000427246094,141.10000610351562,200.8000030517578,329.9800109863281,37.33396530151367,28.713333129882812,59.47999954223633,39.96333312988281,102.19000244140625,291.0,9.1899995803833,36.54999923706055,145.0800018310547,139.25999450683594,197.80999755859375,324.7799987792969,36.88804626464844,28.11400032043457,59.0099983215332,39.56666564941406,100.80999755859375,294.05999755859375,9.289999961853027,37.0,145.8699951171875,139.7899932861328,198.0,326.1000061035156,37.286529541015625,28.299999237060547,59.470001220703125,39.619998931884766,100.9000015258789,2103600,43425700,7454400,5777000,10803700,3554200,4485800,16514072,142981500,5002100,20294700,1369900
2020-01-03,269.2786865234375,7.689460754394531,35.23797607421875,128.5928497314453,121.9034194946289,181.49468994140625,325.8999938964844,31.17088508605957,29.534000396728516,48.7951545715332,36.76961898803711,94.17422485351562,291.7300109863281,9.210000038146973,36.31999969482422,144.27999877929688,138.33999633789062,200.0800018310547,325.8999938964844,36.93548583984375,29.534000396728516,58.5099983215332,39.29666519165039,101.8499984741211,292.8999938964844,9.369999885559082,36.91999816894531,145.3699951171875,139.22999572753906,200.5500030517578,329.8599853515625,37.2296028137207,30.266666412353516,58.810001373291016,39.5966682434082,102.01000213623047,289.3299865722656,9.149999618530273,36.11000061035156,143.0,137.0800018310547,198.85000610351562,325.5299987792969,36.688804626464844,29.128000259399414,58.02000045776367,39.1966667175293,100.36000061035156,290.04998779296875,9.3100004196167,36.72999954223633,143.5,137.5,199.38999938964844,326.7799987792969,36.736244201660156,29.366666793823242,58.5,39.42333221435547,101.41999816894531,1926000,45040800,9173000,5752400,10386800,2767600,3806900,14922848,266677500,5161800,16197600,1145500
2020-01-06,269.35247802734375,7.6477155685424805,34.772274017333984,128.4324493408203,121.80648803710938,183.53573608398438,335.8299865722656,31.130855560302734,30.1026668548584,48.12797927856445,36.69476318359375,94.1187515258789,291.80999755859375,9.15999984741211,35.84000015258789,144.10000610351562,138.22999572753906,202.3300018310547,335.8299865722656,36.88804626464844,30.1026668548584,57.709999084472656,39.21666717529297,101.79000091552734,292.07000732421875,9.170000076293945,36.18000030517578,144.1999969482422,138.27000427246094,202.77000427246094,336.3599853515625,37.00189971923828,30.104000091552734,57.790000915527344,39.36333465576172,101.80000305175781,288.6199951171875,9.0600004196167,35.79999923706055,142.85000610351562,136.5,199.35000610351562,321.20001220703125,36.71726989746094,29.333332061767578,56.81999969482422,38.92333221435547,101.05999755859375,290.54998779296875,9.100000381469727,35.95000076293945,144.0,136.55999755859375,199.60000610351562,323.1199951171875,36.831119537353516,29.364667892456055,57.06999969482422,39.133331298828125,101.43000030517578,2655100,43372300,8408200,7731300,10259000,4660400,5663100,15771951,151995000,6869200,19336500,1454100
2020-01-07,268.9278564453125,7.722856521606445,34.10283660888672,129.2167510986328,119.73567962646484,183.807861328125,330.75,31.026756286621094,31.270666122436523,47.6693000793457,36.35480499267578,94.2851791381836,291.3500061035156,9.25,35.150001525878906,144.97999572753906,135.8800048828125,202.6300048828125,330.75,36.764705657958984,31.270666122436523,57.15999984741211,38.85333251953125,101.97000122070312,291.69000244140625,9.25,35.84000015258789,145.4499969482422,137.86000061035156,202.67999267578125,336.70001220703125,37.12523651123047,31.441999435424805,57.689998626708984,39.17333221435547,102.23999786376953,289.2799987792969,9.119999885559082,34.7400016784668,141.3800048828125,135.82000732421875,200.50999450683594,330.29998779296875,36.69829177856445,30.224000930786133,57.13999938964844,38.733333587646484,101.54000091552734,291.32000732421875,9.199999809265137,35.75,144.00999450683594,137.27999877929688,201.8699951171875,336.4700012207031,37.11574935913086,30.760000228881836,57.529998779296875,39.086666107177734,101.75,1963400,44984100,17556800,7382900,10531300,4047400,4703200,20108107,268231500,4006800,20540700,1388600
2020-01-08,272.01092529296875,7.722856521606445,33.617733001708984,129.19894409179688,120.66976165771484,186.783203125,339.260009765625,31.27497100830078,32.80933380126953,47.569236755371094,36.23004913330078,94.45160675048828,294.69000244140625,9.25,34.650001525878906,144.9600067138672,136.94000244140625,205.91000366210938,339.260009765625,37.05882263183594,32.80933380126953,57.040000915527344,38.720001220703125,102.1500015258789,295.4800109863281,9.300000190734863,35.20000076293945,145.97999572753906,137.5800018310547,206.69000244140625,342.70001220703125,37.21062469482422,33.232666015625,57.5099983215332,38.90999984741211,102.9800033569336,290.5,9.170000076293945,34.40999984741211,143.6999969482422,135.60000610351562,202.1999969482422,331.04998779296875,36.764705657958984,31.215333938598633,57.029998779296875,38.560001373291016,100.33999633789062,290.989990234375,9.229999542236328,35.040000915527344,144.8699951171875,135.6999969482422,202.6199951171875,331.489990234375,36.774192810058594,31.579999923706055,57.20000076293945,38.766666412353516,100.47000122070312,2492800,45994900,13229400,6605800,9695300,5284200,7104500,16403507,467164500,5627500,17627400,1521500
2020-01-09,276.37689208984375,7.731205463409424,34.03491973876953,129.58218383789062,121.1103286743164,188.9965362548828,335.6600036621094,31.138856887817383,32.089332580566406,47.58590316772461,36.604312896728516,95.20057678222656,299.4200134277344,9.260000228881836,35.08000183105469,145.38999938964844,137.44000244140625,208.35000610351562,335.6600036621094,36.89753341674805,32.089332580566406,57.060001373291016,39.119998931884766,102.95999908447266,301.9599914550781,9.3100004196167,35.099998474121094,146.02999877929688,138.22999572753906,209.3699951171875,343.4200134277344,37.25806427001953,33.253334045410156,57.560001373291016,39.12333297729492,104.0199966430664,297.7099914550781,9.180000305175781,34.529998779296875,144.99000549316406,137.0399932861328,206.10000610351562,334.6099853515625,36.80265808105469,31.524667739868164,56.86000061035156,38.69333267211914,102.4000015258789,298.54998779296875,9.300000190734863,34.9900016784668,145.75999450683594,138.0500030517578,206.86000061035156,342.0,37.25806427001953,33.13999938964844,57.349998474121094,38.71666717529297,102.56999969482422,3261200,51817400,9610400,6112700,9469000,5971600,4709300,21971895,426606000,5775400,16691100,1790100
2020-01-10,274.36456298828125,7.722856521606445,33.617733001708984,129.2880401611328,119.90312194824219,188.01683044433594,329.04998779296875,31.619264602661133,31.876667022705078,47.260658264160156,36.29866409301758,94.02629089355469,297.239990234375,9.25,34.650001525878906,145.05999755859375,136.07000732421875,207.27000427246094,329.04998779296875,37.466793060302734,31.876667022705078,56.66999816894531,38.793331146240234,101.69000244140625,300.2699890136719,9.359999656677246,36.45000076293945,146.17999267578125,137.25,208.9499969482422,338.5,37.5996208190918,32.3293342590332,57.150001525878906,39.11333465576172,102.88999938964844,296.6600036621094,9.25,34.5099983215332,144.89999389648438,135.80999755859375,207.27000427246094,327.2699890136719,36.97343444824219,31.579999923706055,56.58000183105469,38.65999984741211,101.54000091552734,300.0,9.270000457763672,35.150001525878906,145.75,137.2100067138672,208.44000244140625,337.1300048828125,36.9829216003418,32.11933135986328,57.099998474121094,39.08000183105469,102.7300033569336,2024200,39796300,9644900,5042600,10190900,2336400,4718300,21557357,194392500,5285000,18164400,1462400
2020-01-13,276.792236328125,7.714507579803467,33.937896728515625,129.8584442138672,120.89886474609375,187.3274383544922,338.9200134277344,31.555217742919922,34.990665435791016,47.29402160644531,36.1427116394043,92.77802276611328,299.8699951171875,9.239999771118164,34.97999954223633,145.6999969482422,137.1999969482422,206.50999450683594,338.9200134277344,37.390892028808594,34.990665435791016,56.709999084472656,38.62666702270508,100.33999633789062,300.6499938964844,9.260000228881836,35.0,145.7899932861328,137.1999969482422,207.77999877929688,340.8500061035156,37.73244857788086,35.04199981689453,56.779998779296875,38.849998474121094,102.05999755859375,296.79998779296875,9.109999656677246,34.4900016784668,144.72000122070312,135.75999450683594,205.75999450683594,331.510009765625,37.20113754272461,32.79999923706055,56.189998626708984,38.456668853759766,100.27999877929688,296.9200134277344,9.25,34.689998626708984,145.47999572753906,136.19000244140625,207.3800048828125,331.79998779296875,37.59013366699219,32.900001525878906,56.52000045776367,38.793331146240234,101.73999786376953,1778600,48553700,7465700,4593200,12355200,2784200,6290000,15392405,397764000,6235800,18337800,1569700
